"Schools Name","Address","Address2 ","City","City 2","Zip","Zip 2","Area","Title","Principal","First","Last","Email","Phone","Fax","Grades"
"St. Mark Lutheran School","1934 52ND ST SE","1934 52ND ST SE","GRAND RAPIDS","GRAND RAPIDS","49508-4915","49508-4915","Kentwood","Mr.","Joel Bahr","Joel","Bahr","jbahr@smls.net","6162817892","6164555320","KG-Part, 1-8, GenEd, PK"
"St. Martha School","1100 WEST GRAND RIVER AVE","1100 WEST GRAND RIVER AVE","OKEMOS","OKEMOS","48864-3015","48864-3015","Okemos","Mrs.","Frances Herring","Frances","Herring","schoolprincipal@st-martha.org","5173493322","5173493322","KG-Part, 1-8, GenEd, PK"
"St. Mary Assumption School","204 ALBERS RD","204 ALBERS RD","BRONSON","BRONSON","49028-1203","49028-1203","Bronson","Ms.","Sharon Alexander","Sharon","Alexander","principal@stmarybronson.org","5173694625","5173691652","KG-Part, 1-8, GenEd, PK"
"St. Mary Cathedral School","321 NORTH OTSEGO AVE","321 NORTH OTSEGO AVE","GAYLORD","GAYLORD","49735-1447","49735-1447","Gaylord","Ms.","Cynthia Pineda","Cynthia","Pineda","cpineda@gaylordstmary.org","9897325801","9897322085","KG-Part, 1-12, GenEd, PK"
"St. Mary Catholic Central High School","108 WEST ELM AVE","108 WEST ELM AVE","MONROE","MONROE","48162-2700","48162-2700","Monroe","Mrs.","Jenny Biler","Jenny","Biler","jbiler@smccmonroe.com","7342410663","7342419042","9-12, GenEd"
"St. Mary Catholic School","421 EAST EXCHANGE ST","421 EAST EXCHANGE ST","SPRING LAKE","SPRING LAKE","49456-1901","49456-1901","Spring Lake","Mr.","Michael Devitt","Michael","Devitt","mdevitt@remc7.k12.mi.us","6168421282","6168428048","KG-Part, 1-8, GenEd"
"St. Mary Catholic School","360 MAPLE ST","360 MAPLE ST","SAULT SAINTE MARIE","SAULT SAINTE MARIE","49783-2040","49783-2040","Sault Ste. Marie","Mrs.","Maria Farney","Maria","Farney","mfarney@eup.k12.mi.us","9066356141","9066356128","KG-Part, 1-8, GenEd, PK"
"St. Mary Catholic School","32447 CHURCH ST","32447 CHURCH ST","ROCKWOOD","ROCKWOOD","48173-1105","48173-1105","Gibraltar","Mr.","Kevin Dufresne","Kevin","Dufresne","tracy.ka@comcast.net","7343799285","7343799088","KG-Part, 1-8, GenEd, PK"
"St. Mary of the Lake School","704 WEST MERCHANT ST","704 WEST MERCHANT ST","NEW BUFFALO","NEW BUFFALO","49117-1241","49117-1241","New Buffalo","Ms.","Kate VanPelt","Kate","VanPelt","katevanpelt@stmaryofthelakeschool.com","2694691515","2694693772","KG-Part, 1-8, GenEd, PK"
"St. Mary Parish School","151 NORTH MONROE ST","151 NORTH MONROE ST","MONROE","MONROE","48162-2628","48162-2628","Monroe","Mrs.","Melody Curtis","Melody","Curtis","stmarymonroe@yahoo.com","7342413377","7342410497","KG-Part, 1-8, GenEd"
"St. Mary School","927 MARION AVE","927 MARION AVE","BIG RAPIDS","BIG RAPIDS","49307-1019","49307-1019","Big Rapids","Ms.","Barbara Borth","Barbara","Borth","bborth@stmarys-schoolbr.com","2317966731","2317969293","KG-Part, 1-8, GenEd, PK"
"St. Mary School","628 SOUTH LAFAYETTE AVE","628 SOUTH LAFAYETTE AVE","ROYAL OAK","ROYAL OAK","48067-2520","48067-2520","Royal Oak","Ms.","Gabriela Bala","Gabriela","Bala","gbala@st-mary.org","2485452140",,"KG-Part, 1-8, GenEd, PK"
"St. Mary School","800 ORCHARD ST","800 ORCHARD ST","SAINT CLAIR","SAINT CLAIR","48079-5410","48079-5410","East China","Mr.","Gary Tomlin","Gary","Tomlin","gtomlin@stmarysstclair.org","8103294150","8103295705","KG-Part, 1-8, GenEd, PK"
"St. Mary School","220 WEST DOWNIE ST","220 WEST DOWNIE ST","ALMA","ALMA","48801-1621","48801-1621","Alma","Ms.","Lisa Seeley","Lisa","Seeley","lseeley@stmaryalma.com","9894634579","9894638297","KG-Part, 1-6, GenEd, PK"
"St. Mary School","PO Box 340, 310 St. Mary's Stree","303 SAINT MARY'S ST","Lake Leelanau","LAKE LEELANAU","49653-0340","49653","Leland","Mrs.","Megan Glynn","Megan","Glynn","mglynn@stmarysll.org","2312569636","2312567812","KG-Part, 1-12, GenEd, PK"
"St. Mary School","105 MARKET ST","96 NEW ST","MOUNT CLEMENS","MOUNT CLEMENS","48043-5638","48043-5618","Mount Clemens","Ms.","Maureen Miscavish","Maureen","Miscavish","mmiscavish@saint-mary.us","5864684570","5864686454","KG-Part, 1-8, GenEd, PK"
"St. Mary School","10601 DEXTER PINCKNEY RD","10601 DEXTER PINCKNEY RD","PINCKNEY","PINCKNEY","48169-8950","48169-8950","Pinckney","Mrs.","Veronica Kinsey","Veronica","Kinsey","mrskinsey@stmarypinckney.org","7348785616","7348782383","KG-Part, 1-8, GenEd, PK"
"St. Mary School","11208 NORTH SAGINAW ST","11208 NORTH SAGINAW ST","MOUNT MORRIS","MOUNT MORRIS","48458-2005","48458-2005","Mt. Morris","Mrs.","Diane Martindale","Diane","Martindale","principal@saintmaryscatholic.com","8106864790","8106864749","KG-Part, 1-8, GenEd, PK"
"St. Mary School","209 NORTH WESTPHALIA ST","209 NORTH WESTPHALIA ST","WESTPHALIA","WESTPHALIA","48894-9865","48894-9865","Pewamo-Westphalia","Mr.","Raymond Rzepecki","Raymond","Rzepecki","rmrzepecki@stmaryschool.us","9895873702","9895873838","1-6, GenEd"
"St. Mary School","217 SOUTH LINCOLN AVE","217 SOUTH LINCOLN AVE","NILES","NILES","49120-2919","49120-2919","Niles","Ms.","Sharon Gregorski","Sharon","Gregorski","sharonrgregorski@yahoo.com","2696839191","2696838118","KG,1-6, GenEd, PK"
"St. Mary School","220 NORTH CEDAR ST","220 NORTH CEDAR ST","WILLIAMSTON","WILLIAMSTON","48895-1125","48895-1125","Williamston","Ms.","Suzanne Penn","Suzanne","Penn","spenn@stmarywilliamston.com","5176554038","5176553933","KG-Part, 1-5, GenEd, PK"
"St. Mary School","508 EAST PAW PAW ST","508 EAST PAW PAW ST","PAW PAW","PAW PAW","49079-1625","49079-1625","Paw Paw","Mrs.","Connie Cooley","Connie","Cooley","stmarypp@bloomingdalecom.net","2696573750","2696574260","KG-Part, 1-5, GenEd, PK"
"St. Mary School","905 SAINT MARYS BLVD","905 SAINT MARYS BLVD","CHARLOTTE","CHARLOTTE","48813-2217","48813-2217","Charlotte","Mrs.","Linda Yeager","Linda","Yeager","stmaryprincipal@sbcglobal.net","5175433460","5175419798","KG-Part,1-5, GenEd"
"St. Mary School","1005 BRIDGE ST","1005 BRIDGE ST","CHARLEVOIX","CHARLEVOIX","49720-1601","49720-1601","Charlevoix","Ms.","Keisha Veryser","Keisha","Veryser","stmaryschool@chartermi.net","2315479441","2315476658","KG-Part, 1-6, GenEd, PK"
"St. Mary School","34516 WEST MICHIGAN AVE","34516 WEST MICHIGAN AVE","WAYNE","WAYNE","48184-1748","48184-1748","Wayne-Westland","Mr.","Donald Lipinski","Donald","Lipinski","stmarywayne@aol.com","7347211240","7344677381","KG-Part, 1-8, GenEd, PK"
"St. Mary Star of the Sea School","116 EAST WESLEY ST","116 EAST WESLEY ST","JACKSON","JACKSON","49201-2341","49201-2341","Jackson",,"Julia Mary Hurlburt","Julia Mary","Hurlburt","stmaryschool@tds.net","5177848811",,"KG-Part, 1-6, GenEd, PK"
"St. Mary/McCormick Catholic Academy","1429 BALLENTINE ST","1429 BALLENTINE ST","PORT HURON","PORT HURON","48060-2069","48060-2069","Port Huron","Ms.","Rachel Becker","Rachel","Becker","stmaryacademy@hotmail.com","8109827906","8109878255","KG-Part, 1-8, GenEd, PK"
"St. Mary's of Hannah School","2912 W KINGSLEY RD","2912 WEST M 113","KINGSLEY","KINGSLEY","49649","49649-9728","Kingsley","Mrs.","Lisa Swartz-Medina","Lisa","Swartz-Medina","smh.school@charterinternet.com","2312635288","2312637489","KG-Part, 1-6, GenEd, PK"
"St. Mary's Preparatory School","3535 INDIAN TRL","3535 INDIAN TRL","ORCHARD LAKE","ORCHARD LAKE","48324-1623","48324-1623","West Bloomfield","Mr.","Len Karschnia","Len","Karschnia","lkarschnia@stmarysprep.com","2487556375","2486831740","9-12, Boarding, GenEd"
"St. Mary's Visitation School","2455 146TH AVE SW","2455 146TH AVE SW","BYRON CENTER","BYRON CENTER","49315-9119","49315-9119","Hopkins","Mrs.","Gail Lewis","Gail","Lewis","glewis@smvschool.org","6166819607","6166819919","KG-Part, 1-6, GenEd, PK"
"St. Matthew Lutheran School","5885 NORTH VENOY RD","5885 NORTH VENOY RD","WESTLAND","WESTLAND","48185-2831","48185-2831","Wayne-Westland","Ms.","Judy Schwaegerle","Judy","Schwaegerle","principal@stmatthew.info","7344250261","7344257932","KG-Part, 1-8, GenEd, PK"
"St. Matthew Lutheran School","2040 SOUTH COMMERCE RD","2040 SOUTH COMMERCE RD","WALLED LAKE","WALLED LAKE","48390-2412","48390-2412","Walled Lake","Mrs.","Susan Palka","Susan","Palka","susan.palka@st-matthew.org","2486247677","2486240685","KG-Part, 1-8, GenEd, PK"
"St. Michael Catholic School","510 WEST FRONT ST","510 WEST FRONT ST","MONROE","MONROE","48161-2424","48161-2424","Monroe","Ms.","Michelle Sontag","Michelle","Sontag","schoolsecretary@stmichaelmonroe.com","7342413923","7342417314","KG-Part, 1-8, GenEd"
"St. Michael Lutheran School","9444 WEST SAGINAW RD","9444 WEST SAGINAW RD","RICHVILLE","RICHVILLE","48758","48758","Reese","Mr.","Daniel Stoelting","Daniel","Stoelting","dstoelting@stmichaelsrichville.org","9898684809","9898684288","KG-Part, 1-8, GenEd, PK"
"St. Michael Lutheran School","3003 HANNAN RD","3003 HANNAN RD","WAYNE","WAYNE","48184-1009","48184-1009","Wayne-Westland","Mr.","Harvey Schmit","Harvey","Schmit","stmichaelwayne@comcast.net","7347283315","7347289569","KG-Part, 1-8, GenEd, PK"
"St. Michael School","310 EAST 2ND ST","310 EAST 2ND ST","PINCONNING","PINCONNING","48650-9409","48650-9409","Pinconning","Ms.","Mellisa Paulik","Mellisa","Paulik","MELPAULIK@YAHOO.COM","9898793063","9898793626","KG-Part, 1-8, GenEd, PK"
"St. Michael School","325 EDWARDS ST","325 EDWARDS ST","GRAND LEDGE","GRAND LEDGE","48837-2110","48837-2110","Grand Ledge","Ms.","Mitzi Luttrull","Mitzi","Luttrull","mitziluttrull@stmichaelgl.org","5176272167","5176271289","KG-Part, 1-8, GenEd, PK"
"St. Michael School","17150 88TH AVE","17150 88TH AVE","COOPERSVILLE","COOPERSVILLE","49404-9457","49404-9457","Coopersville","Mr.","Richard Kosla","Richard","Kosla","richardkosla@gmail.com","6168376346","6168378580","KG-Part, 1-6, GenEd, PK"
"St. Michael School","8944 50TH AVE","8944 50TH AVE","REMUS","REMUS","49340-9771","49340-9771","Chippewa Hills","Ms.","Mary Schoner","Mary","Schoner","stmichaelsschool@power-net.net","9899673681","9899673061","KG-Part, 1-6, GenEd, PK"
"St. Michael School","11311 HUBBARD ST","11311 HUBBARD ST","LIVONIA","LIVONIA","48150-2763","48150-2763","Livonia","Sr.","M. Carolyn","M.","Carolyn","tliptak@livoniastmichael.org","7344217360","7344669713","KG-Part, 1-8, GenEd"
"St. Michael's Lutheran School","7211 OAKLAND DR","7211 OAKLAND DR","PORTAGE","PORTAGE","49024-4151","49024-4151","Portage","Mr.","Gregory Johnson","Gregory","Johnson","gjohnson@mightymessengers.org","2693270512","2693277832","KG-Part, 1-8, GenEd, PK"
"St. Monica School","530 WEST KILGORE RD","530 WEST KILGORE RD","KALAMAZOO","KALAMAZOO","49008-3610","49008-3610","Kalamazoo","Mrs.","Becky Reits","Becky","Reits","breits@stmonicakzoo.org","2693452444","2693458534","KG-Part, 1-8, GenEd, PK"
"St. Patrick School","9040 HUTCHINS ST","9040 HUTCHINS ST","WHITE LAKE","WHITE LAKE","48386-3331","48386-3331","Walled Lake","Mrs.","Carol Budchuk","Carol","Budchuk","cbudchuk@stpatrickwhitelake.org","2486983240","2486984339","KG-Part, 1-8, GenEd"
"St. Patrick School","1001 ORNDORF DR","1001 ORNDORF DR","BRIGHTON","BRIGHTON","48116-2308","48116-2308","Brighton","Ms.","Jeanine Kenny","Jeanine","Kenny","principal@stpatschool.org","8102297946","8102296206","KG, KG-Part, 1-8, GenEd"
"St. Patrick School","2970 WEST LABO RD","2970 WEST LABO RD","CARLETON","CARLETON","48117-9038","48117-9038","Airport","Mrs.","Ruth Meiring","Ruth","Meiring","saintpatrick@chartermi.net","7346542522",,"KG-Part, 1-8, GenEd, PK"
"St. Patrick School","4333 PARNELL AVE NE","4333 PARNELL AVE NE","ADA","ADA","49301-9759","49301-9759","Lowell","Mr.","Scott Czarnopys","Scott","Czarnopys","scottczarnopys@gmail.com","6166918833","6166918541","KG-Part,1-8, GenEd, PK"
"St. Patrick's School","122 WEST ST","122 NORTH WEST ST","PORTLAND","PORTLAND","48875","48875-1091","Portland","Mr.","Randy Hodge","Randy","Hodge","randyhodge@portlandstpats.org","5176477551","5176474545","KG,1-12, GenEd, PK"
"St. Paul Lutheran School","4941 CENTER ST","4941 CENTER ST","MILLINGTON","MILLINGTON","48746-9676","48746-9676","Millington","Mrs.","Elaine Bickel","Elaine","Bickel","elainebickel@juno.com","9898714581","9898715573","KG-Part, 1-8, GenEd, PK"
"St. Paul Lutheran School","495 EARHART RD","495 EARHART RD","ANN ARBOR","ANN ARBOR","48105-2708","48105-2708","Ann Arbor",,"Bradley Massey","Bradley","Massey","eyoskovich@stpaulannarbor.org","7346650604","7346657809","KG-Part, 1-8, GenEd, PK"
"St. Paul Lutheran School","2745 WEST GENESEE AVE","2745 WEST GENESEE AVE","SAGINAW","SAGINAW","48602-3724","48602-3724","Saginaw","Mr.","Michael Hein","Michael","Hein","heinstpauls@juno.com","9897993271",,"KG-Part, 1-8, GenEd"
"St. Paul Lutheran School","17810 FARMINGTON RD","17810 FARMINGTON RD","LIVONIA","LIVONIA","48152-3104","48152-3104","Livonia","Pastor","James Hoff","James","Hoff","jhoff@stpaulslivonia.org","7344219022","7344219022","KG-Part, 1-8, GenEd, PK"
"St. Paul Lutheran School","718 ARBOR CT","718 ARBOR CT # M","SOUTH HAVEN","SOUTH HAVEN","49090-1959","49090-1959","South Haven","Mr.","Joseph Greefkes","Joseph","Greefkes","jrgreefkes@gmail.com","2696374459",,"KG-Part, 1-8, GenEd, PK"
"St. Paul Lutheran School","402 SOUTH BALLENGER HWY","402 SOUTH BALLENGER HWY","FLINT","FLINT","48532-3637","48532-3637","Flint","Ms.","Mary Buck","Mary","Buck","mbuck@stpaulflint.com","8102396733","8102395466","KG-Part, 1-8, GenEd, PK"
"St. Paul Lutheran School","90 MILLVILLE RD","90 MILLVILLE RD","LAPEER","LAPEER","48446-1642","48446-1642","Lapeer","Mr.","Raymond Sturm","Raymond","Sturm","raysturm@charter.net","8106640046","8106646653","KG-Part, 1-8, GenEd, PK"
"St. Paul Lutheran School","508 SOUTH WILLIAMS ST","508 SOUTH WILLIAMS ST","ROYAL OAK","ROYAL OAK","48067-2622","48067-2622","Royal Oak","Mr.","Terry Hoeft","Terry","Hoeft","slutheranscho113880@comcast.net","2485466555","2485468096","KG-Part, 1-8, GenEd, PK"
"St. Paul Lutheran School","201 ELM ST","201 ELM ST","NORTHVILLE","NORTHVILLE","48167-1260","48167-1260","Northville","Mr.","Carl Hall","Carl","Hall","stpauldayschool@ameritech.net","2483493146","2483497493","KG-Part,1-8, GenEd, PK"
"St. Paul Lutheran School","6094 WESTSIDE SAGINAW RD","6094 WESTSIDE SAGINAW RD","BAY CITY","BAY CITY","48706-9357","48706-9357","Bay City","Ms.","Carolyn VanCise","Carolyn","VanCise","stpaulfrankenlust@mail.com","9896844450","9896840882","KG-Part, 1-8, GenEd, PK"
"St. Paul School","170 GROSSE POINTE BLVD","170 GROSSE POINTE BLVD","GROSSE POINTE FARMS","GROSSE POINTE FARMS","48236-3754","48236-3754","Grosse Pointe","Dr.","Mary Miller","Mary","Miller","mmiller@stpaulonthelake.org","3138853430","3138859357","KG-Part, 1-8, GenEd, PK"
"St. Paul School","718 WEST MAIN ST","718 WEST MAIN ST","OWOSSO","OWOSSO","48867-2612","48867-2612","Owosso","Mrs.","Merry Jane Robertson","Merry Jane","Robertson","principal@spsowosso.org","9897257766","9897239503","KG-Part, 1-8, GenEd"
"St. Paul The Apostle School","2750 BURTON ST SE","2750 BURTON ST SE","GRAND RAPIDS","GRAND RAPIDS","49546-4927","49546-4927","Grand Rapids","Ms.","Lori Salva","Lori","Salva","ljs738@gmail.com","6169491690","6169490836","KG-Part, 1-8, GenEd, PK"
"St. Paul's Lutheran School","2673 WEST JOHN BEERS RD","2673 WEST JOHN BEERS RD","STEVENSVILLE","STEVENSVILLE","49127-1212","49127-1212","Lakeshore (Berrien)","Mr.","Alan Treder","Alan","Treder","act@stpaulslwels.org","2694291546","2694290172","KG-Part, 1-8, GenEd, PK"
"St. Peter Lutheran Day School","1309 PENNIMAN AVE","1309 PENNIMAN AVE","PLYMOUTH","PLYMOUTH","48170-1156","48170-1156","Plymouth-Canton","Mr.","Ryan Roth","Ryan","Roth","speterschool218130mi@comcast.net","7344530460","7344533598","KG-Part, 1-8, GenEd, PK, SpecEd"
"St. Peter Lutheran School","8990 CHURCH RD","8990 CHURCH RD","SAINT JOHNS","SAINT JOHNS","48879-9230","48879-9230","St. Johns","Mr.","David Bremer","David","Bremer","david.bremer@lsportal.net","9892244665","9892248962","KG-Part, 1-8, GenEd, PK"
"St. Peter Lutheran School","408 WEST BELLEVUE ST","408 WEST BELLEVUE ST","BIG RAPIDS","BIG RAPIDS","49307-1310","49307-1310","Big Rapids","Mr.","David Truog","David","Truog","dtruog@charter.net","2317968782","2317961186","KG-Part, 1-8, GenEd, PK"
"St. Peter Lutheran School","2440 NORTH RAUCHOLZ RD","2440 NORTH RAUCHOLZ RD","HEMLOCK","HEMLOCK","48626-8467","48626-8467","Hemlock","Mr.","Eric Hagenow","Eric","Hagenow","emhageno@stpeterhemlock.org","9896425659","9896429053","KG-Part, 1-8, GenEd, PK"
"St. Peter Lutheran School","23000 GRATIOT AVE","23000 GRATIOT AVE","EASTPOINTE","EASTPOINTE","48021-1663","48021-1663","East Detroit","Ms.","Judy Thompson","Judy","Thompson","jthompson@stpeterslutheranchurch.net","5867712809","5867770347","KG-Part, 1-8, GenEd, PK"
"St. Peter Lutheran School","17051 24 MILE RD","17051 24 MILE RD","MACOMB","MACOMB","48042-2902","48042-2902","Utica","Mr.","Kyle Chuhran","Kyle","Chuhran","kchuhran@splcs.net","5867819296","5867819296","KG-Part, 1-8, GenEd"
"St. Peter's Lutheran School","37601 31 MILE RD","37601 31 MILE RD","RICHMOND","RICHMOND","48062-1907","48062-1907","Richmond","Mr.","George Kovtun","George","Kovtun","sue.ianitelli@lsportal.net","5867279080","5867273380","KG-Part, 1-8, GenEd, PK"
"St. Philip Catholic Central High School","20 CHERRY ST","20 CHERRY ST","BATTLE CREEK","BATTLE CREEK","49017-3904","49017-3904","Battle Creek","Mr.","Donald Shafer","Donald","Shafer","dshafer@bcacs.org","2699634503","2699635590","9-12, GenEd"
"St. Pius Catholic School","14141 PEARL ST","14141 PEARL ST","SOUTHGATE","SOUTHGATE","48195-1959","48195-1959","Southgate","Mrs.","Michelle Seward","Michelle","Seward","mseward@saintpius-x.org","7342846500","2488408638","KG-Part, 1-8, GenEd, PK"
"St. Pius X School","G3139 HOGARTH AVE","G3139 HOGARTH AVE","FLINT","FLINT","48532-5132","48532-5132","Carman-Ainsworth","Mr.","R. J. Kaplan","R. J.","Kaplan","rkaplanspx@yahoo.com","8102358572","8102352675","KG-Part, 1-8, GenEd, PK"
"St. Raphael School","31500 BEECHWOOD ST","31500 BEECHWOOD ST","GARDEN CITY","GARDEN CITY","48135-1935","48135-1935","Garden City","Ms.","De Ann Brzezinski","De Ann","Brzezinski","dbrzezinski@straphael-gc.org","7344259771","7344278895","KG-Part, 1-8, GenEd, PK"
"St. Regis School","3691 LINCOLN RD","3691 LINCOLN RD","BLOOMFIELD HILLS","BLOOMFIELD HILLS","48301-4055","48301-4055","Birmingham","Ms.","Denise Ball","Denise","Ball","denise.ball@stregis.org","2486462686",,"KG-Part, 1-8, GenEd, PK"
"St. Robert Bellarmine School","27201 WEST CHICAGO","27201 WEST CHICAGO","REDFORD","REDFORD","48239-2333","48239-2333","South Redford","Ms.","Nancy Kuszczak","Nancy","Kuszczak","nmajewski@yahoo.com","3139371655",,"KG-Part, 1-8, GenEd, PK"
"St. Robert Bellarmine School","214 EAST HENRY ST","214 EAST HENRY ST","FLUSHING","FLUSHING","48433-1551","48433-1551","Flushing","Mrs.","Susan Sharp","Susan","Sharp","srsoffice@aol.com","8106592503","8106594002","KG-Part, 1-8, GenEd, PK"
"St. Rose of Lima Catholic School","707 SOUTH JEFFERSON ST","707 SOUTH JEFFERSON ST","HASTINGS","HASTINGS","49058-2237","49058-2237","Hastings","Mr.","Kyle Welter","Kyle","Welter","kylewelter23@yahoo.com","2699453164","2699450005","KG-Part, 1-6, GenEd"
"St. Sebastian School","20700 COLGATE ST","20700 COLGATE ST","DEARBORN HEIGHTS","DEARBORN HEIGHTS","48125-2908","48125-2908","Dearborn Heights #7","Sr."," Kaczynski, FSSJ",,"Kaczynski, FSSJ","stsebastian@comcast.net","3135636640",,"KG-Part, 1-8, GenEd, PK"
"St. Stanislaus School","1861 136TH AVE","1861 136TH AVE","DORR","DORR","49323-9553","49323-9553","Hopkins","Ms.","Shannon Saxton-Murphy","Shannon","Saxton-Murphy","murphy@st-stans.net","2697937204","2697933264","KG-Part, 1-8, GenEd, PK"
"St. Stephen Elementary School","18800 HURON RIVER DR","18800 HURON RIVER DR","NEW BOSTON","NEW BOSTON","48164-9272","48164-9272","Huron","Mr.","Joe Monte","Joe","Monte","jm3663@comcast.net","7347534175","7347535828","KG-Part, 1-8, GenEd"
"St. Stephen Lutheran School","4860 MIDLAND AVE","4860 MIDLAND AVE","WATERFORD","WATERFORD","48329-1743","48329-1743","Waterford","Dr.","Kristen Nelson-McKenzie","Kristen","Nelson-McKenzie","ststephenwaterford@yahoo.com","2486735906","2486732908","KG-Part, 1-8, GenEd, PK"
"St. Stephen Parish School","1300 MALZAHN ST","1300 MALZAHN ST","SAGINAW","SAGINAW","48602-2939","48602-2939","Saginaw","Ms.","Kristina Long","Kristina","Long","klong@sacschools.org","9897932811","9897938463","KG-Part, 1-8, Alt, GenEd, PK"
"St. Stephen School","740 GLADSTONE DR SE","740 GLADSTONE DR SE","GRAND RAPIDS","GRAND RAPIDS","49506-2821","49506-2821","East Grand Rapids","Ms.","Cynthia Thomas","Cynthia","Thomas","cindy@ststephenparish.com","6162438998",,"KG-Part, 1-8, GenEd, PK"
"St. Thecla Catholic School","20762 SOUTH NUNNELEY RD","20762 SOUTH NUNNELEY RD","CLINTON TOWNSHIP","CLINTON TOWNSHIP","48035-1628","48035-1628","Clintondale","Sr.","Mary Kathleen White","Mary Kathleen","White","srkathleen@stthecla.com","5867912170","5867912356","KG-Part, 1-8, GenEd"
"St. Therese Catholic School","430 SOUTH MAIN ST","430 SOUTH MAIN ST","WAYLAND","WAYLAND","49348-1316","49348-1316","Wayland Union","Mrs.","Jane Gee","Jane","Gee","sttprincipal@sbcglobal.net","2697922016","2697926778","KG-Part, 1-6, GenEd, PK"
"St. Thomas Aquinas School","2136 BERBEROVICH DR","2136 BERBEROVICH DR","SAGINAW","SAGINAW","48603-3603","48603-3603","Saginaw Township","Sr.","Ann de Guise","Ann","de Guise","jensprague1@yahoo.com","9897922361","9897920411","KG-Part, 1-8, GenEd, PK"
"St. Thomas Aquinas School","915 ALTON RD","915 ALTON RD","EAST LANSING","EAST LANSING","48823-2749","48823-2749","East Lansing","Mr.","Rod Murphy","Rod","Murphy","rmurphy@elcatholics.org","5173320813","5173517271","KG-Part, 1-8, GenEd, PK"
"St. Thomas Lutheran School","23801 KELLY RD","23801 KELLY RD","EASTPOINTE","EASTPOINTE","48021-3440","48021-3440","East Detroit","Mrs.","Jacqueline Sturgess","Jacqueline","Sturgess","schooloffice@stl-eastpointe.org","5867723372","5867726265","KG-Part, 1-8, GenEd, PK"
"St. Thomas More Academy","6456 EAST BRISTOL RD","6456 EAST BRISTOL RD","BURTON","BURTON","48519-1745","48519-1745","Davison","Mr.","Daniel LeBlanc","Daniel","LeBlanc","stma2003@sbcglobal.net","8107422411","8107424803","KG-Part, 1-12, GenEd"
"St. Thomas the Apostle School","1429 WILCOX PARK DR SE","1429 WILCOX PARK DR SE","GRAND RAPIDS","GRAND RAPIDS","49506-1753","49506-1753","Grand Rapids","Ms.","Suzanne Vander Zee","Suzanne","Vander Zee","svanderzee@stthomasgr.org","6164584228","6164584583","KG-Part, 1-8, GenEd, PK"
"St. Thomas the Apostle School","540 ELIZABETH ST","540 ELIZABETH ST","ANN ARBOR","ANN ARBOR","48104-1222","48104-1222","Ann Arbor","Mr.","Anthony Moskus","Anthony","Moskus","tmoskus@stthomasannarbor.org","7347690911","7347699078","KG-Part, 1-8, GenEd, PK"
"St. Valentine School","25875 HOPE","25875 HOPE","REDFORD","REDFORD","48239-3168","48239-3168","Redford Union","Mrs.","Rachel Damuth","Rachel","Damuth","rachel.damuth@stvalentine.pvt.k12.mi.us","3135337149","3135333060","KG-Part, 1-8, GenEd, PK"
"St. William Catholic School","135 OFLAHERTY ST","135 OFLAHERTY ST","WALLED LAKE","WALLED LAKE","48390-3431","48390-3431","Walled Lake","Mrs.","Linda Jackson","Linda","Jackson","ddarga@stwilliam.com","2486694440",,"KG-Part, 1-8, GenEd"
"Steppingstone Center for the Potentially Gifted","30250 GRAND RIVER AVE","30250 Grand River Ave","FARMINGTON HILLS","Farmington Hills","48336-4724","48336-4724","Farmington","Mrs.","Kiyo Morse","Kiyo","Morse","kiyo@steppingstoneschool.org","2485391666","2485391929","1-8, GenEd"
"Sturgis Christian School","70031 SOUTH LAKEVIEW ST","70031 SOUTH LAKEVIEW ST","STURGIS","STURGIS","49091-9578","49091-9578","Sturgis","Pastor","Kenneth Eash","Kenneth","Eash","sturgischristianschool@hotmail.com","2696511724","2696514777","KG-Part, 1-12, GenEd"
"Summers-Knoll School","2015 MANCHESTER RD","2015 MANCHESTER RD","ANN ARBOR","ANN ARBOR","48104-4917","48104-4917","Ann Arbor","Ms.","Joanna Hastings","Joanna","Hastings","jhastings@summers-knoll.org","7349717991","7349712018","KG-Part,1-5, GenEd"
"Sundai Michigan International Academy","24055 MEADOWBROOK RD","24055 MEADOWBROOK RD","NOVI","NOVI","48375-3456","48375-3456","Novi","Mr.","Hitoshi Otaka","Hitoshi","Otaka","otaka@sundai-kaigai.jp","2483495234","2483499488","KG, KG-Part, 1-9, GenEd"
"Tawheed Center of Detroit School","18624 WEST WARREN AVE","18624 WEST WARREN AVE","DETROIT","DETROIT","48228-3445","48228-3445","Detroit","Mr.","Zubair Chughtai","Zubair","Chughtai","tawzub@gmail.com","3132710731","3132710864","KG-Part,1-8, GenEd, PK"
"Temple of Faith Baptist School","9351 FORRER ST","9351 FORRER ST","DETROIT","DETROIT","48228-2115","48228-2115","Detroit","Ms.","Gloria Newton","Gloria","Newton","tofbaptist@aol.com","3138358889","3138360458","KG-Part,1-8, GenEd, PK"
"The International School","28555 MIDDLEBELT RD","28555 MIDDLEBELT RD","FARMINGTON HILLS","FARMINGTON HILLS","48334-4104","48334-4104","Farmington","Mr.","Jack Faxon","Jack","Faxon","office@theinternationalschool.org","2488517372","2488511454","KG-Part, 1-8, GenEd, PK"
